rel_path,filename,format,size_kb,num_rows,num_cols,missing_pct,duplicates,source_owner,official_url,coverage_period,geographic_coverage,product_coverage,price_unit,frequency,suitable_for_training,target_leakage_risk,limitations,important_columns
raw\auxiliary\prev\size_wise_No_of_Factories_2023.csv,size_wise_No_of_Factories_2023.csv,csv,1.1,31,9,0.0,0,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"Sl.No., District, Upto 20 workers, 21 to 50 workers, 51 to 100 workers, 101 to 250 workers, 251 to 500, 501 to 1000, 1001 & Above"
raw\auxiliary\prev\size_wise_No_of_Factories_as_on_Mar_2022_0.csv,size_wise_No_of_Factories_as_on_Mar_2022_0.csv,csv,1.09,31,9,0.0,0,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"Sl.No., District, Upto 20 workers, 21 to 50 workers, 51 to 100 workers, 101 to 250 workers, 251 to 500, 501 to 1000, 1001 & Above"
raw\auxiliary\prev\size_wise_No_of_Factories_as_on_Mar_2024.csv,size_wise_No_of_Factories_as_on_Mar_2024.csv,csv,1.09,31,9,0.0,0,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"Sl.No., District, Upto 20 workers, 21 to 50 workers, 51 to 100 workers, 101 to 250 workers, 251 to 500, 501 to 1000, 1001 & Above"
raw\auxiliary\prev\Table3_Principal_Characterstics_By_Major_States_2012-2013.csv,Table3_Principal_Characterstics_By_Major_States_2012-2013.csv,csv,3.85,34,15,0.0,0,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"States, Factories, Fixed Capital, Productive Capital, Invested Capital, Workers, Total Persons Engaged, Wages to Workers, Total Emoluments, Total Input..."
raw\auxiliary\prev\Table_6_Principal_Characteristics_by_Rural_-_Urban_Break-up_in_ASI_2011-2012.csv,Table_6_Principal_Characteristics_by_Rural_-_Urban_Break-up_in_ASI_2011-2012.csv,csv,0.74,13,15,76.92,9,Government / Auxiliary Dataset,N/A,Historical,District/State Level,Industrial / Auxiliary,Various,Annual / Static,False,Low auxiliary context,Auxiliary secondary feature dataset.,"Sector, Factories, Fixed Capital, Productive Capital, Invested Capital, Workers, Total Persons Engaged, Wages to Workers, Total Emoluments, Total Input..."
raw\economic\WPI-2011-12-May2017.csv,WPI-2011-12-May2017.csv,csv,392.19,0,0,0.0,0,Office of Economic Adviser,https://eaindustry.nic.in,April 2011 - August 2016,National (India),Wholesale Commodities,Index (Base 2011-12=100),Monthly,False,Redundant overlapping snapshot with wpi_monthly_2012_2023.csv.,Superseded by wpi_monthly_2012_2023.csv; retained under raw/ for lineage.,Error reading file: 'utf-8' codec can't decode byte 0x96 in position 121217: invalid start byte
raw\economic\WPI_August_2015.csv,WPI_August_2015.csv,csv,625.27,797,139,0.46,0,Office of Economic Adviser,https://eaindustry.nic.in,August 2015 Snapshot,National (India),Wholesale Commodities,Index (Base 2004-05=100),Monthly,False,Legacy base year 2004-05; non-harmonized.,Legacy base year.,"COMMODITIES, Weight, Apr-04, May-04, Jun-04, Jul-04, Aug-04, Sep-04, Oct-04, Nov-04..."
raw\economic\WPI_July2014.xls,WPI_July2014.xls,xls,859.5,0,0,0.0,0,Office of Economic Adviser,https://eaindustry.nic.in,July 2014 Snapshot,National (India),Wholesale Commodities,Index (Base 2004-05=100),Monthly,False,Legacy base year 2004-05; non-harmonized.,Legacy base year.,Error reading file: Missing optional dependency 'xlrd'. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install xlrd.
raw\economic\wpi_monthly_2012_2023.csv,wpi_monthly_2012_2023.csv,csv,731.64,869,142,0.0,0,Ministry of Commerce & Industry / Office of Economic Adviser,https://api.data.gov.in/resource/239ac3d0-f08d-40d0-b03c-9b7a426a62d5,April 2012 - October 2023,National (India),870 Wholesale Commodities & Sub-groups,Index (Base 2011-12=100),Monthly,True,Medium if future WPI used; Safe when lagged strictly before target date T.,Monthly national aggregate; requires commodity mapping.,"COMM_NAME, COMM_CODE, COMM_WT, INDX042012, INDX052012, INDX062012, INDX072012, INDX082012, INDX092012, INDX102012..."
raw\economic\economic_census\EC.pdf,EC.pdf,pdf,1686.34,0,0,0.0,0,Central Statistics Office / MoSPI,https://mospi.gov.in,6th Economic Census Report,Pan-India,Economic Census Methodology,Text Reference,N/A,False,N/A (Reference document).,PDF Document.,N/A (Binary / Document)
raw\prices\agmarknet_daily_prices.csv,agmarknet_daily_prices.csv,csv,623.9,5917,10,0.0,0,Government of India / AGMARKNET / Data.gov.in,https://api.data.gov.in/resource/9ef84268-d588-465a-a308-a864a43d0070,September 2026 (Daily snapshot),"Pan-India (States, Districts, APMC Markets)","Agricultural Commodities (Vegetables, Fruits, Grains, Spices)",₹/quintal,Daily,True,High if same-day min/max price used; Safe if target is modal_price at date T and inputs are shifted T-1 lag.,Snapshot contains specific daily observations; requires temporal shift logic for feature engineering.,"State, District, Market, Commodity, Variety, Grade, Arrival_Date, Min_x0020_Price, Max_x0020_Price, Modal_x0020_Price"
